station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,Suspenderede stoffer,Total,16.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,"Glødetab,susp.stof",Total,4.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.03,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.15,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,"Nitrogen,total N",Total,6.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,4.6,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,"Phosphor, total-P",Total,0.084,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-21,Suspenderede stoffer,Total,18.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,"Phosphor, total-P",Total,0.13,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,"Glødetab,susp.stof",Total,3.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.023,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,Suspenderede stoffer,Total,18.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,"Nitrogen,total N",Total,5.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,4.1,mg/l
